Student,Year,Math,English,Science
Student_11,2022,94,79,86
Student_12,2022,83,63,91
Student_13,2022,61,90,64
Student_14,2022,81,82,74
Student_15,2022,64,60,94
Student_16,2022,95,89,65
Student_17,2022,82,67,94
Student_18,2022,70,85,69
Student_19,2022,73,66,71
Student_20,2022,73,100,83
Student_21,2022,85,86,87
Student_22,2022,92,67,80
Student_23,2022,92,73,60
Student_24,2022,78,100,63
Student_25,2022,60,65,68
Student_26,2022,93,73,86
Student_27,2022,78,98,96
Student_28,2022,100,95,72
Student_29,2022,97,92,68
Student_30,2022,76,73,80
Student_31,2022,82,100,90
Student_32,2022,88,65,74
Student_33,2022,81,65,89
Student_34,2022,69,94,69
Student_35,2022,99,63,92
Student_36,2022,69,63,63
Student_37,2022,68,73,97
Student_38,2022,97,63,93
Student_39,2022,79,61,62
Student_40,2022,83,61,91
Student_41,2022,83,74,61
Student_42,2022,83,89,78
Student_43,2022,72,77,71
Student_44,2022,62,97,61
Student_45,2022,70,98,61
Student_46,2022,85,91,71
Student_47,2022,92,61,84
Student_48,2022,61,96,68
Student_49,2022,88,81,61
Student_50,2022,74,72,82
