Student_ID,Grade,Study_Hours,Extracurricular,Exam_Score,Part_Time_Job,Gender
Student_1,11,9.5,Sports,92,No,Male
Student_2,12,8.0,Sports,91,No,Female
Student_3,9,9.5,Debate,100,No,Male
Student_4,11,9.0,Music,88,No,Female
Student_5,11,6.0,Music,99,No,Male
Student_6,12,9.0,Sports,100,Yes,Male
Student_7,9,1.0,None,43,Yes,Male
Student_8,9,2.0,Music,66,No,Male
Student_9,11,0.5,None,43,Yes,Male
Student_10,10,3.5,Music,74,Yes,Male
Student_11,11,4.0,None,81,Yes,Female
Student_12,11,2.5,Debate,55,Yes,Male
Student_13,11,8.5,None,100,No,Female
Student_14,11,3.5,Debate,72,No,Male
Student_15,12,3.0,Debate,72,No,Female
Student_16,9,5.5,None,96,Yes,Female
Student_17,12,1.5,Debate,55,No,Female
Student_18,12,8.0,Sports,83,No,Male
Student_19,12,0.5,Debate,45,Yes,Male
Student_20,11,10.0,Music,91,No,Female
Student_21,10,7.5,None,88,Yes,Male
Student_22,9,2.0,Sports,63,No,Female
Student_23,10,0.0,None,53,No,Male
Student_24,12,8.0,Music,99,Yes,Female
Student_25,12,7.0,Music,85,Yes,Female
Student_26,10,7.5,Music,100,No,Male
Student_27,10,7.5,Debate,86,No,Female
Student_28,10,0.5,Debate,81,No,Male
Student_29,12,3.5,None,74,No,Female
Student_30,12,1.0,None,47,Yes,Female
Student_31,9,8.5,Sports,82,Yes,Male
Student_32,9,6.0,Sports,86,No,Male
Student_33,12,3.5,None,64,Yes,Male
Student_34,10,0.5,Debate,60,No,Female
Student_35,10,3.0,Music,70,No,Male
Student_36,9,3.5,None,66,No,Female
Student_37,12,7.5,Sports,78,Yes,Female
Student_38,9,6.5,Debate,67,No,Male
Student_39,9,9.0,None,90,No,Male
Student_40,11,4.5,None,82,No,Female
Student_41,11,1.0,Debate,58,No,Female
Student_42,11,7.0,None,73,Yes,Male
Student_43,10,7.5,Debate,90,No,Male
Student_44,12,5.5,Music,82,No,Male
Student_45,12,7.5,Debate,80,Yes,Male
Student_46,12,5.0,Debate,76,Yes,Male
Student_47,12,5.0,Debate,77,Yes,Female
Student_48,11,4.5,None,60,Yes,Female
Student_49,10,0.5,None,55,Yes,Female
Student_50,10,1.0,Debate,61,No,Female
Student_51,11,0.5,None,62,Yes,Male
Student_52,10,6.5,Sports,92,Yes,Male
Student_53,11,3.0,Sports,52,No,Male
Student_54,12,5.0,None,66,Yes,Female
Student_55,11,9.0,None,100,No,Female
Student_56,12,2.5,Debate,68,Yes,Male
Student_57,12,4.0,Music,76,Yes,Male
Student_58,9,7.5,None,100,No,Female
Student_59,11,2.5,Sports,67,No,Female
Student_60,9,1.0,Debate,65,No,Male
Student_61,11,3.0,None,74,No,Male
Student_62,11,1.5,Sports,65,No,Female
Student_63,9,9.5,Sports,93,Yes,Male
Student_64,9,8.0,Music,98,Yes,Male
Student_65,11,6.5,Debate,74,No,Male
Student_66,10,8.5,Debate,91,No,Female
Student_67,12,8.0,Music,85,No,Female
Student_68,9,2.0,Music,60,No,Female
Student_69,12,9.0,Debate,100,Yes,Female
Student_70,10,5.5,Debate,58,No,Female
Student_71,10,8.0,None,97,Yes,Female
Student_72,10,9.0,None,79,No,Female
Student_73,9,3.0,Music,61,No,Male
Student_74,10,1.0,None,66,No,Male
Student_75,9,2.5,Sports,62,No,Male
Student_76,10,4.5,None,61,No,Male
Student_77,12,8.0,None,84,Yes,Male
Student_78,12,8.5,Sports,100,No,Male
Student_79,11,0.0,Music,43,No,Male
Student_80,12,5.0,Sports,78,No,Female
Student_81,11,4.0,None,71,Yes,Female
Student_82,12,2.0,Music,55,No,Male
Student_83,9,1.0,None,77,Yes,Male
Student_84,12,3.5,Sports,73,Yes,Female
Student_85,11,9.5,Sports,77,No,Male
Student_86,11,3.0,None,68,Yes,Male
Student_87,10,5.0,Debate,69,Yes,Female
Student_88,9,7.0,Debate,94,No,Male
Student_89,12,3.5,Sports,60,No,Female
Student_90,10,9.5,Sports,97,No,Male
Student_91,12,9.5,Debate,100,No,Female
Student_92,12,2.5,Debate,71,No,Female
Student_93,10,5.0,None,63,Yes,Female
Student_94,10,3.0,None,62,Yes,Male
Student_95,10,3.0,Debate,59,No,Female
Student_96,10,0.5,None,45,No,Male
Student_97,10,6.0,None,98,No,Male
Student_98,12,5.0,Music,79,No,Male
Student_99,10,0.5,None,40,Yes,Male
Student_100,9,3.0,Sports,73,No,Female
