Year,Month,BeeCount
2018,January,178.0
2018,February,168.0
2018,March,154.0
2018,April,147.0
2018,May,124.0
2018,June,75.0
2018,July,82.0
2018,August,120.0
2018,September,150.0
2018,October,163.0
2018,November,175.0
2018,December,179.0
2019,January,163.0
2019,February,142.0
2019,March,161.0
2019,April,141.0
2019,May,119.0
2019,June,71.0
2019,July,95.0
2019,August,129.0
2019,September,160.0
2019,October,172.0
2019,November,151.0
2019,December,161.0
2020,January,164.0
2020,February,166.0
2020,March,167.0
2020,April,155.0
2020,May,116.0
2020,June,71.0
2020,July,
2020,August,116.0
2020,September,142.0
2020,October,176.0
2020,November,146.0
2020,December,160.0
2021,January,148.0
2021,February,178.0
2021,March,157.0
2021,April,143.0
2021,May,5.0
2021,June,83.0
2021,July,75.0
2021,August,122.0
2021,September,165.0
2021,October,141.0
2021,November,159.0
2021,December,167.0
2022,January,146.0
2022,February,147.0
2022,March,174.0
2022,April,153.0
2022,May,114.0
2022,June,97.0
2022,July,83.0
2022,August,123.0
2022,September,143.0
2022,October,141.0
2022,November,145.0
2022,December,143.0
2023,January,168.0
2023,February,157.0
2023,March,165.0
2023,April,173.0
2023,May,121.0
2023,June,71.0
2023,July,97.0
2023,August,117.0
2023,September,170.0
2023,October,154.0
2023,November,147.0
2023,December,153.0
2024,January,162.0
2024,February,179.0
2024,March,160.0
2024,April,155.0
2024,May,118.0
2024,June,83.0
2024,July,86.0
2024,August,118.0
2024,September,168.0
2024,October,154.0
2024,November,140.0
2024,December,164.0
