Title,Genre,Author,Year
Book_1,Biography,Author_0,2021
Book_2,Mystery,Author_1,1978
Book_3,Mystery,Author_2,1991
Book_4,Biography,Author_3,1957
Book_5,Romance,Author_4,1979
Book_6,Science Fiction,Author_5,1954
Book_7,Science Fiction,Author_6,1990
Book_8,Science Fiction,Author_7,2001
Book_9,Biography,Author_8,1984
Book_10,Mystery,Author_9,1958
Book_11,Biography,Author_10,1977
Book_12,Biography,Author_11,2022
Book_13,Non-Fiction,Author_12,1990
Book_14,Mystery,Author_13,1977
Book_15,Non-Fiction,Author_14,2013
Book_16,Fantasy,Author_15,2000
Book_17,Mystery,Author_16,2008
Book_18,Mystery,Author_17,1968
Book_19,Mystery,Author_18,1983
Book_20,Science Fiction,Author_19,1967
Book_21,Science Fiction,Author_0,1981
Book_22,Non-Fiction,Author_1,2021
Book_23,Non-Fiction,Author_2,2018
Book_24,Mystery,Author_3,1983
Book_25,Non-Fiction,Author_4,2024
Book_26,Science Fiction,Author_5,2004
Book_27,Biography,Author_6,2024
Book_28,Biography,Author_7,2001
Book_29,Biography,Author_8,1996
Book_30,Non-Fiction,Author_9,1978
Book_31,Fantasy,Author_10,1967
Book_32,Science Fiction,Author_11,2015
Book_33,Fantasy,Author_12,2013
Book_34,Non-Fiction,Author_13,1961
Book_35,Romance,Author_14,1956
Book_36,Mystery,Author_15,1964
Book_37,Science Fiction,Author_16,1969
Book_38,Biography,Author_17,1970
Book_39,Fantasy,Author_18,2004
Book_40,Romance,Author_19,1958
Book_41,Romance,Author_0,1999
Book_42,Science Fiction,Author_1,1998
Book_43,Science Fiction,Author_2,2009
Book_44,Romance,Author_3,2017
Book_45,Mystery,Author_4,1982
Book_46,Mystery,Author_5,2020
Book_47,Fantasy,Author_6,1951
Book_48,Mystery,Author_7,1964
Book_49,Romance,Author_8,2018
Book_50,Romance,Author_9,1984
Book_51,Non-Fiction,Author_10,1993
Book_52,Romance,Author_11,1964
Book_53,Mystery,Author_12,1987
Book_54,Biography,Author_13,2005
Book_55,Fantasy,Author_14,1970
Book_56,Non-Fiction,Author_15,2008
Book_57,Mystery,Author_16,1950
Book_58,Fantasy,Author_17,1983
Book_59,Mystery,Author_18,2014
Book_60,Non-Fiction,Author_19,1972
Book_61,Romance,Author_0,2014
Book_62,Biography,Author_1,1963
Book_63,Non-Fiction,Author_2,1988
Book_64,Romance,Author_3,2014
Book_65,Non-Fiction,Author_4,1975
Book_66,Science Fiction,Author_5,1969
Book_67,Biography,Author_6,1997
Book_68,Mystery,Author_7,1970
Book_69,Mystery,Author_8,2019
Book_70,Biography,Author_9,2017
Book_71,Science Fiction,Author_10,1950
Book_72,Romance,Author_11,1991
Book_73,Mystery,Author_12,2012
Book_74,Science Fiction,Author_13,1952
Book_75,Mystery,Author_14,1964
Book_76,Fantasy,Author_15,1996
Book_77,Romance,Author_16,1989
Book_78,Fantasy,Author_17,1980
Book_79,Biography,Author_18,1957
Book_80,Romance,Author_19,1980
Book_81,Science Fiction,Author_0,2022
Book_82,Romance,Author_1,1960
Book_83,Romance,Author_2,1960
Book_84,Science Fiction,Author_3,2012
Book_85,Biography,Author_4,1958
Book_86,Romance,Author_5,2018
Book_87,Biography,Author_6,1966
Book_88,Biography,Author_7,1966
Book_89,Biography,Author_8,2010
Book_90,Mystery,Author_9,2020
Book_91,Non-Fiction,Author_10,1971
Book_92,Biography,Author_11,1983
Book_93,Science Fiction,Author_12,2017
Book_94,Non-Fiction,Author_13,2004
Book_95,Biography,Author_14,1977
Book_96,Science Fiction,Author_15,2019
Book_97,Science Fiction,Author_16,1975
Book_98,Fantasy,Author_17,1989
Book_99,Fantasy,Author_18,2001
Book_100,Romance,Author_19,1997
