make,price,mpg,rep78,headroom,trunk,weight,length,turn,displacement,gear_ratio,foreign
AMC Concord,4099,22,Average,2.5,11,2930,186,40,121,3.5799999,Domestic
AMC Pacer,4749,17,Average,3,11,3350,173,40,258,2.53,Domestic
AMC Spirit,3799,22,,3,12,2640,168,35,121,3.0799999,Domestic
Buick Century,4816,20,Average,4.5,16,3250,196,40,196,2.9300001,Domestic
Buick Electra,7827,15,Good,4,20,4080,222,43,350,2.4100001,Domestic
Buick LeSabre,5788,18,Average,4,21,3670,218,43,231,2.73,Domestic
Buick Opel,4453,26,,3,10,2230,170,34,304,2.8699999,Domestic
Buick Regal,5189,20,Average,2,16,3280,200,42,196,2.9300001,Domestic
Buick Riviera,10372,16,Average,3.5,17,3880,207,43,231,2.9300001,Domestic
Buick Skylark,4082,19,Average,3.5,13,3400,200,42,231,3.0799999,Domestic
Cad. Deville,11385,14,Average,4,20,4330,221,44,425,2.28,Domestic
Cad. Eldorado,14500,14,Fair,3.5,16,3900,204,43,350,2.1900001,Domestic
Cad. Seville,15906,21,Average,3,13,4290,204,45,350,2.24,Domestic
Chev. Chevette,3299,29,Average,2.5,9,2110,163,34,231,2.9300001,Domestic
Chev. Impala,5705,16,Good,4,20,3690,212,43,250,2.5599999,Domestic
Chev. Malibu,4504,22,Average,3.5,17,3180,193,31,200,2.73,Domestic
Chev. Monte Carlo,5104,22,Fair,2,16,3220,200,41,200,2.73,Domestic
Chev. Monza,3667,24,Fair,2,7,2750,179,40,151,2.73,Domestic
Chev. Nova,3955,19,Average,3.5,13,3430,197,43,250,2.5599999,Domestic
Dodge Colt,3984,30,Excellent,2,8,2120,163,35,98,3.54,Domestic
Dodge Diplomat,4010,18,Fair,4,17,3600,206,46,318,2.47,Domestic
Dodge Magnum,5886,16,Fair,4,17,3600,206,46,318,2.47,Domestic
Dodge St. Regis,6342,17,Fair,4.5,21,3740,220,46,225,2.9400001,Domestic
Ford Fiesta,4389,28,Good,1.5,9,1800,147,33,98,3.1500001,Domestic
Ford Mustang,4187,21,Average,2,10,2650,179,43,140,3.0799999,Domestic
Linc. Continental,11497,12,Average,3.5,22,4840,233,51,400,2.47,Domestic
Linc. Mark V,13594,12,Average,2.5,18,4720,230,48,400,2.47,Domestic
Linc. Versailles,13466,14,Average,3.5,15,3830,201,41,302,2.47,Domestic
Merc. Bobcat,3829,22,Good,3,9,2580,169,39,140,2.73,Domestic
Merc. Cougar,5379,14,Good,3.5,16,4060,221,48,302,2.75,Domestic
Merc. Marquis,6165,15,Average,3.5,23,3720,212,44,302,2.26,Domestic
Merc. Monarch,4516,18,Average,3,15,3370,198,41,250,2.4300001,Domestic
Merc. XR-7,6303,14,Good,3,16,4130,217,45,302,2.75,Domestic
Merc. Zephyr,3291,20,Average,3.5,17,2830,195,43,140,3.0799999,Domestic
Olds 98,8814,21,Good,4,20,4060,220,43,350,2.4100001,Domestic
Olds Cutl Supr,5172,19,Average,2,16,3310,198,42,231,2.9300001,Domestic
Olds Cutlass,4733,19,Average,4.5,16,3300,198,42,231,2.9300001,Domestic
Olds Delta 88,4890,18,Good,4,20,3690,218,42,231,2.73,Domestic
Olds Omega,4181,19,Average,4.5,14,3370,200,43,231,3.0799999,Domestic
Olds Starfire,4195,24,Poor,2,10,2730,180,40,151,2.73,Domestic
Olds Toronado,10371,16,Average,3.5,17,4030,206,43,350,2.4100001,Domestic
Plym. Arrow,4647,28,Average,2,11,3260,170,37,156,3.05,Domestic
Plym. Champ,4425,34,Excellent,2.5,11,1800,157,37,86,2.97,Domestic
Plym. Horizon,4482,25,Average,4,17,2200,165,36,105,3.3699999,Domestic
Plym. Sapporo,6486,26,,1.5,8,2520,182,38,119,3.54,Domestic
Plym. Volare,4060,18,Fair,5,16,3330,201,44,225,3.23,Domestic
Pont. Catalina,5798,18,Good,4,20,3700,214,42,231,2.73,Domestic
Pont. Firebird,4934,18,Poor,1.5,7,3470,198,42,231,3.0799999,Domestic
Pont. Grand Prix,5222,19,Average,2,16,3210,201,45,231,2.9300001,Domestic
Pont. Le Mans,4723,19,Average,3.5,17,3200,199,40,231,2.9300001,Domestic
Pont. Phoenix,4424,19,,3.5,13,3420,203,43,231,3.0799999,Domestic
Pont. Sunbird,4172,24,Fair,2,7,2690,179,41,151,2.73,Domestic
Audi 5000,9690,17,Excellent,3,15,2830,189,37,131,3.2,Foreign
Audi Fox,6295,23,Average,2.5,11,2070,174,36,97,3.7,Foreign
BMW 320i,9735,25,Good,2.5,12,2650,177,34,121,3.6400001,Foreign
Datsun 200,6229,23,Good,1.5,6,2370,170,35,119,3.8900001,Foreign
Datsun 210,4589,35,Excellent,2,8,2020,165,32,85,3.7,Foreign
Datsun 510,5079,24,Good,2.5,8,2280,170,34,119,3.54,Foreign
Datsun 810,8129,21,Good,2.5,8,2750,184,38,146,3.55,Foreign
Fiat Strada,4296,21,Average,2.5,16,2130,161,36,105,3.3699999,Foreign
Honda Accord,5799,25,Excellent,3,10,2240,172,36,107,3.05,Foreign
Honda Civic,4499,28,Good,2.5,5,1760,149,34,91,3.3,Foreign
Mazda GLC,3995,30,Good,3.5,11,1980,154,33,86,3.73,Foreign
Peugeot 604,12990,14,,3.5,14,3420,192,38,163,3.5799999,Foreign
Renault Le Car,3895,26,Average,3,10,1830,142,34,79,3.72,Foreign
Subaru,3798,35,Excellent,2.5,11,2050,164,36,97,3.8099999,Foreign
Toyota Celica,5899,18,Excellent,2.5,14,2410,174,36,134,3.0599999,Foreign
Toyota Corolla,3748,31,Excellent,3,9,2200,165,35,97,3.21,Foreign
Toyota Corona,5719,18,Excellent,2,11,2670,175,36,134,3.05,Foreign
VW Dasher,7140,23,Good,2.5,12,2160,172,36,97,3.74,Foreign
VW Diesel,5397,41,Excellent,3,15,2040,155,35,90,3.78,Foreign
VW Rabbit,4697,25,Good,3,15,1930,155,35,89,3.78,Foreign
VW Scirocco,6850,25,Good,2,16,1990,156,36,97,3.78,Foreign
Volvo 260,11995,17,Excellent,2.5,14,3170,193,37,163,2.98,Foreign
