year,summer_temp_anomaly_F,acres_burned,acres_burned_millions
1993,0.6,1800000,1.8
1994,-0.3,4070000,4.07
1995,0.5,1840000,1.84
1996,-0.1,6070000,6.07
1997,0.4,2860000,2.86
1998,1.4,1330000,1.33
1999,1.0,5630000,5.63
2000,1.1,7390000,7.39
2001,0.9,3570000,3.57
2002,1.5,7180000,7.18
2003,1.1,3960000,3.96
2004,0.3,8100000,8.1
2005,1.6,8690000,8.69
2006,1.9,9870000,9.87
2007,1.7,9330000,9.33
2008,0.7,5290000,5.29
2009,0.9,5920000,5.92
2010,1.2,3420000,3.42
2011,1.6,8710000,8.71
2012,2.2,9330000,9.33
2013,1.0,4320000,4.32
2014,1.3,3600000,3.6
2015,1.7,10130000,10.13
2016,1.5,5500000,5.5
2017,1.6,10030000,10.03
2018,2.0,8770000,8.77
2019,1.4,4660000,4.66
2020,2.4,10120000,10.12
2021,1.7,7130000,7.13
2022,2.1,7580000,7.58
