Hours_Homework_Per_Week,GPA,Hours_Sleep_Per_Night,Grade_Level,Gender,Extracurricular
11.5,3.18,4.6,11,Female,Yes
9.6,3.28,6.1,12,Female,No
11.9,3.54,7.0,12,Male,Yes
14.6,3.53,7.1,9,Male,No
9.3,2.31,6.3,10,Male,No
9.3,2.53,7.9,11,Female,Yes
14.7,3.26,5.4,11,Male,Yes
12.3,3.26,6.8,11,Male,No
8.6,3.26,7.2,11,Female,No
11.6,4.0,7.8,12,Male,Yes
8.6,3.29,8.1,12,Female,Yes
8.6,3.57,5.3,10,Male,Yes
10.7,3.48,4.7,11,Male,No
4.3,3.33,8.9,11,Male,Yes
4.8,2.84,7.5,9,Female,No
8.3,3.38,5.9,12,Female,Yes
7.0,2.61,9.3,11,Female,Yes
10.9,2.88,7.2,10,Male,Yes
7.3,2.76,8.8,10,Female,Yes
5.8,3.04,7.1,12,Male,Yes
14.4,4.0,10.0,10,Male,Yes
9.3,2.07,9.6,10,Female,Yes
10.2,3.34,6.6,12,Male,No
5.7,2.19,8.5,11,Male,Yes
8.4,2.76,8.0,11,Male,Yes
10.3,3.54,9.1,10,Male,No
6.5,3.03,5.6,10,Male,No
11.1,2.46,8.0,11,Female,No
8.2,2.64,8.6,12,Male,No
9.1,3.34,4.4,10,Female,Yes
8.2,2.63,5.2,9,Female,Yes
15.6,3.11,3.9,12,Male,No
10.0,3.02,6.6,10,Male,No
6.8,2.67,8.1,10,Male,Yes
12.5,4.0,9.3,9,Female,No
6.3,3.32,7.1,9,Male,Yes
10.6,1.99,9.4,11,Female,Yes
4.1,3.09,4.9,12,Male,Yes
6.0,2.67,4.4,12,Female,Yes
10.6,3.43,6.9,11,Male,Yes
12.2,2.6,7.6,12,Male,Yes
10.5,2.94,7.0,12,Female,No
9.7,3.25,3.9,12,Female,Yes
9.1,3.43,6.9,12,Male,Yes
5.6,2.4,5.0,12,Female,No
7.8,2.83,8.0,9,Female,No
8.6,2.76,7.5,12,Female,No
13.2,2.67,5.6,9,Female,No
11.0,3.88,6.2,12,Male,No
4.7,3.2,5.4,11,Male,Yes
11.0,2.37,6.9,10,Male,Yes
8.8,3.46,8.4,9,Female,Yes
8.0,4.0,5.5,12,Female,Yes
11.8,3.52,7.8,11,Male,Yes
13.1,2.24,6.2,10,Male,No
12.8,2.76,5.8,9,Female,Yes
7.5,3.63,6.8,10,Other,Yes
9.1,2.65,5.4,11,Female,Yes
11.0,3.22,6.2,9,Male,No
12.9,3.39,5.2,10,Male,Yes
8.6,2.54,9.9,12,Male,No
9.4,2.97,7.1,9,Female,Yes
6.7,1.38,6.0,10,Male,Yes
6.4,2.49,7.3,11,Female,Yes
12.4,2.87,6.8,11,Male,No
14.1,2.38,6.7,9,Female,Yes
9.8,3.82,7.9,10,Female,No
13.0,2.28,8.1,9,Female,Yes
11.1,2.78,6.2,9,Male,Yes
8.1,3.07,6.1,10,Male,No
11.1,3.72,6.6,10,Male,No
14.6,2.28,3.5,12,Female,No
9.9,3.58,4.7,10,Female,No
14.7,3.01,9.1,11,Female,No
2.1,2.51,9.5,9,Female,No
12.5,3.23,6.6,9,Female,No
10.3,3.1,7.9,11,Male,No
9.1,2.7,7.5,10,Female,No
10.3,3.03,10.0,11,Male,Yes
4.0,2.81,8.7,11,Male,No
9.3,3.06,6.8,12,Female,Yes
11.1,3.33,5.6,11,Male,No
14.4,3.79,4.6,9,Male,No
8.4,2.38,7.3,11,Female,Yes
7.6,4.0,5.9,9,Male,No
8.5,2.02,4.9,9,Female,Yes
12.7,2.92,6.0,9,Male,Yes
11.0,3.29,5.4,10,Male,No
8.4,3.14,9.5,12,Male,Yes
11.5,2.69,8.3,9,Male,No
10.3,2.9,7.0,9,Female,No
12.9,2.75,9.2,10,Male,Yes
7.9,2.71,7.1,9,Female,Yes
9.0,3.42,5.7,11,Male,Yes
8.8,3.18,9.3,11,Female,Yes
5.6,2.65,7.8,12,Female,No
10.9,3.45,5.4,9,Female,Yes
10.8,3.15,6.7,10,Male,Yes
10.0,3.41,5.7,11,Male,Yes
9.3,3.31,4.9,10,Male,Yes
5.8,2.59,8.4,10,Female,No
8.7,2.72,9.9,11,Male,Yes
9.0,3.37,4.9,10,Female,No
7.6,3.31,7.8,11,Female,Yes
9.5,2.99,6.0,10,Male,No
11.2,3.06,6.3,11,Female,Yes
15.7,3.64,6.1,9,Male,Yes
10.5,2.7,5.7,12,Male,No
10.8,3.27,7.1,11,Female,Yes
9.8,2.9,5.8,11,Female,No
4.2,2.89,7.4,12,Female,No
9.9,3.55,6.9,11,Male,Yes
