"date","home_team","away_team","home_pts","away_pts","home_wins","away_wins"
2023-10-24,"Atlanta Hawks","Minnesota Timberwolves",83,106,0,1
2023-10-24,"Atlanta Hawks","Cleveland Cavaliers",147,126,1,0
2023-10-24,"Atlanta Hawks","Boston Celtics",101,107,0,1
2023-10-24,"Atlanta Hawks","Sacramento Kings",114,120,0,1
2023-10-24,"Atlanta Hawks","Houston Rockets",102,99,1,0
2023-10-25,"Atlanta Hawks","Chicago Bulls",114,113,1,0
2023-10-25,"Atlanta Hawks","New Orleans Pelicans",81,102,0,1
2023-10-25,"Atlanta Hawks","San Antonio Spurs",74,95,0,1
2023-10-25,"Atlanta Hawks","Minnesota Timberwolves",109,117,0,1
2023-10-25,"Atlanta Hawks","Miami Heat",132,128,1,0
2023-10-25,"Atlanta Hawks","Portland Trail Blazers",103,101,1,0
2023-10-25,"Atlanta Hawks","Denver Nuggets",108,100,1,0
2023-10-25,"Atlanta Hawks","Chicago Bulls",88,98,0,1
2023-10-26,"Atlanta Hawks","Sacramento Kings",109,105,1,0
2023-10-26,"Atlanta Hawks","Cleveland Cavaliers",132,117,1,0
2023-10-26,"Atlanta Hawks","Memphis Grizzlies",123,118,1,0
2023-10-26,"Atlanta Hawks","Oklahoma City Thunder",118,115,1,0
2023-10-26,"Atlanta Hawks","San Antonio Spurs",131,118,1,0
2023-10-26,"Atlanta Hawks","New Orleans Pelicans",100,105,0,1
2023-10-26,"Atlanta Hawks","Miami Heat",102,108,0,1
2023-10-26,"Atlanta Hawks","Charlotte Hornets",125,118,1,0
2023-10-26,"Atlanta Hawks","Golden State Warriors",105,107,0,1
2023-10-26,"Atlanta Hawks","Sacramento Kings",89,99,0,1
2023-10-26,"Atlanta Hawks","Toronto Raptors",103,95,1,0
2023-10-27,"Atlanta Hawks","Chicago Bulls",151,140,1,0
2023-10-27,"Atlanta Hawks","Cleveland Cavaliers",86,91,0,1
2023-10-27,"Atlanta Hawks","Los Angeles Lakers",114,110,1,0
2023-10-27,"Atlanta Hawks","Cleveland Cavaliers",129,131,0,1
2023-10-27,"Atlanta Hawks","Oklahoma City Thunder",109,119,0,1
2023-10-27,"Atlanta Hawks","Brooklyn Nets",118,108,1,0
2023-10-27,"Atlanta Hawks","Utah Jazz",129,116,1,0
2023-10-27,"Atlanta Hawks","Detroit Pistons",135,130,1,0
2023-10-27,"Atlanta Hawks","Charlotte Hornets",115,112,1,0
2023-10-27,"Atlanta Hawks","San Antonio Spurs",118,104,1,0
2023-10-27,"Atlanta Hawks","Boston Celtics",142,126,1,0
2023-10-27,"Atlanta Hawks","Houston Rockets",129,131,0,1
2023-10-27,"Atlanta Hawks","Portland Trail Blazers",104,99,1,0
2023-10-28,"Atlanta Hawks","Indiana Pacers",106,118,0,1
2023-10-28,"Atlanta Hawks","Miami Heat",121,111,1,0
2023-10-28,"Atlanta Hawks","Philadelphia 76ers",116,118,0,1
2023-10-28,"Atlanta Hawks","San Antonio Spurs",117,116,1,0
2023-10-28,"Boston Celtics","Detroit Pistons",103,110,0,1
2023-10-28,"Boston Celtics","Chicago Bulls",110,115,0,1
2023-10-28,"Boston Celtics","Chicago Bulls",101,97,1,0
2023-10-28,"Boston Celtics","Philadelphia 76ers",84,95,0,1
2023-10-28,"Boston Celtics","New Orleans Pelicans",106,118,0,1
