Name,Grade_Level,Community_Service_Hours
Student_1,11,62
Student_2,12,17
Student_3,9,89
Student_4,11,43
Student_5,11,33
Student_6,12,73
Student_7,9,61
Student_8,9,99
Student_9,11,13
Student_10,10,94
Student_11,11,47
Student_12,11,14
Student_13,11,71
Student_14,11,77
Student_15,12,86
Student_16,9,61
Student_17,12,39
Student_18,12,84
Student_19,12,79
Student_20,11,81
Student_21,10,52
Student_22,9,23
Student_23,10,25
Student_24,12,88
Student_25,12,59
Student_26,10,40
Student_27,10,28
Student_28,10,14
Student_29,12,44
Student_30,12,64
Student_31,9,88
Student_32,9,70
Student_33,12,8
Student_34,10,87
Student_35,10,0
Student_36,9,7
Student_37,12,87
Student_38,9,62
Student_39,9,10
Student_40,11,80
Student_41,11,7
Student_42,11,34
Student_43,10,34
Student_44,12,32
Student_45,12,4
Student_46,12,40
Student_47,12,27
Student_48,11,6
Student_49,10,72
Student_50,10,71
Student_51,11,11
Student_52,10,33
Student_53,11,32
Student_54,12,47
Student_55,11,22
Student_56,12,61
Student_57,12,87
Student_58,9,36
Student_59,11,98
Student_60,9,43
Student_61,11,85
Student_62,11,90
Student_63,9,34
Student_64,9,64
Student_65,11,98
Student_66,10,100
Student_67,12,46
Student_68,9,77
Student_69,12,2
Student_70,10,0
Student_71,10,4
Student_72,10,89
Student_73,9,13
Student_74,10,26
Student_75,9,8
Student_76,10,78
Student_77,12,14
Student_78,12,89
Student_79,11,41
Student_80,12,76
Student_81,11,50
Student_82,12,62
Student_83,9,95
Student_84,12,51
Student_85,11,95
Student_86,11,3
Student_87,10,93
Student_88,9,100
Student_89,12,22
Student_90,10,14
Student_91,12,42
Student_92,12,28
Student_93,10,35
Student_94,10,12
Student_95,10,31
Student_96,10,70
Student_97,10,58
Student_98,12,85
Student_99,10,27
Student_100,9,65
