"Student","Math_Score","Science_Score","English_Score","Grade"
"Student_1",88,51,58,9
"Student_2",78,NA,73,11
"Student_3",64,77,50,11
"Student_4",92,96,93,11
"Student_5",57,56,57,10
"Student_6",70,93,73,9
"Student_7",88,57,60,11
"Student_8",68,NA,66,10
"Student_9",72,84,57,9
"Student_10",60,63,84,9
"Student_11",60,66,84,9
"Student_12",73,85,82,9
"Student_13",85,99,54,12
"Student_14",89,89,91,9
"Student_15",73,53,88,10
"Student_16",52,51,90,12
"Student_17",71,55,77,11
"Student_18",51,NA,56,9
"Student_19",73,53,58,11
"Student_20",93,78,57,12
"Student_21",79,67,61,9
"Student_22",87,75,83,11
"Student_23",51,93,82,9
"Student_24",70,83,97,11
"Student_25",82,59,72,12
"Student_26",61,85,73,10
"Student_27",71,63,86,9
"Student_28",93,80,84,12
"Student_29",74,97,93,12
"Student_30",98,64,89,11
"Student_31",76,57,71,9
"Student_32",91,63,76,12
"Student_33",77,72,84,11
"Student_34",65,89,50,11
"Student_35",64,70,84,9
"Student_36",96,65,86,12
"Student_37",93,94,96,9
"Student_38",52,67,63,9
"Student_39",86,96,52,10
"Student_40",56,73,50,9
"Student_41",70,NA,54,9
"Student_42",58,74,75,11
"Student_43",88,94,63,10
"Student_44",67,90,88,9
"Student_45",53,78,76,10
"Student_46",74,64,58,12
"Student_47",63,94,64,10
"Student_48",99,NA,64,11
"Student_49",58,74,75,10
"Student_50",75,56,91,12
