Year,Month,AvgTemperature,TotalRainfall
2018,1,49.7,2.54
2018,2,34.0,1.01
2018,3,70.4,3.27
2018,4,68.2,3.43
2018,5,51.9,2.4
2018,6,76.7,4.59
2018,7,84.3,2.99
2018,8,76.0,2.93
2018,9,58.1,3.32
2018,10,65.9,3.72
2018,11,61.8,1.8
2018,12,44.3,2.52
2019,1,41.2,2.54
2019,2,39.9,2.05
2019,3,60.7,1.56
2019,4,52.7,1.58
2019,5,65.9,2.29
2019,6,82.6,4.72
2019,7,78.7,3.23
2019,8,86.3,2.69
2019,9,51.9,2.22
2019,10,54.0,3.82
2019,11,70.2,3.08
2019,12,47.4,2.61
2020,1,33.7,2.79
2020,2,40.8,2.61
2020,3,72.4,2.3
2020,4,52.8,2.07
2020,5,60.7,3.55
2020,6,87.9,2.02
2020,7,82.7,3.25
2020,8,78.3,2.36
2020,9,58.4,3.86
2020,10,58.1,2.8
2020,11,67.6,2.41
2020,12,49.4,2.92
2021,1,35.0,1.99
2021,2,36.0,1.57
2021,3,50.9,3.02
2021,4,62.6,1.63
2021,5,57.0,3.77
2021,6,78.6,2.43
2021,7,82.3,4.96
2021,8,78.6,4.02
2021,9,69.0,2.09
2021,10,68.2,2.42
2021,11,65.8,3.08
2021,12,40.7,1.18
2022,1,46.7,1.64
2022,2,33.7,1.08
2022,3,64.8,3.19
2022,4,50.4,2.78
2022,5,55.7,3.11
2022,6,77.6,4.07
2022,7,80.8,4.81
2022,8,77.1,3.02
2022,9,52.8,3.81
2022,10,71.9,2.14
2022,11,66.5,3.54
2022,12,41.1,2.06
2023,1,34.8,1.19
2023,2,47.9,2.8
2023,3,65.8,2.35
2023,4,58.7,3.31
2023,5,72.4,3.72
2023,6,86.7,3.93
2023,7,76.3,2.48
2023,8,88.5,3.82
2023,9,50.2,1.75
2023,10,66.6,1.51
2023,11,54.0,2.87
2023,12,43.8,2.3
2024,1,34.5,2.42
2024,2,34.7,1.65
2024,3,68.7,3.12
2024,4,71.2,3.14
2024,5,64.2,1.73
2024,6,80.5,2.8
2024,7,78.7,4.92
2024,8,80.9,4.68
2024,9,65.8,3.49
2024,10,62.6,2.94
2024,11,62.3,1.99
2024,12,44.4,1.56
