student_id,grade_level,gender,study_method,hours_of_sleep,test_score
1,9th,Male,solo,7.5,82.0
2,9th,Female,group,6.0,74.0
3,9th,Male,tutor,8.0,88.0
4,10th,Female,solo,5.5,68.0
5,10th,Male,group,7.0,79.0
6,10th,Male,solo,7.0,71.0
7,10th,Female,tutor,8.5,91.0
8,11th,Male,group,6.5,77.0
9,11th,Male,solo,7.0,80.0
10,11th,Female,tutor,9.0,95.0
11,11th,Male,group,5.0,65.0
12,12th,Female,solo,6.0,72.0
13,12th,Male,tutor,8.0,89.0
14,12th,Female,group,7.5,84.0
16,10th,Female,group,7.0,81.0
18,12th,Male,solo,7.0,69.0
19,9th,Female,group,6.0,75.0
20,10th,Female,tutor,9.0,96.0
21,11th,,solo,7.0,78.0
