student_id,grade_level,gender,study_method,hours_of_sleep,test_score
1,9th,Male,solo,7.5,82
2,9th,female,group,6.0,74
3,9th,M,tutor,8.0,88
4,10th,Female,Solo,5.5,68
5,10th,male,GROUP,7.0,79
6,10th,M,solo,,71
7,10th,F,Tutor,8.5,91
8,11th,male,group,6.5,77
9,11th,Male,solo ,7.0,80
10,11th,F,tutor,9.0,95
11,11th,male,group,5.0,65
12,12th,Female,Solo,6.0,72
13,12th,m,tutor,8.0,89
14,12th,F,group,7.5,84
15,9th,Male,solo,6.5,
16,10th,female,Group,7.0,81
17,11th,M,tutor,8.5,999
18,12th,male,solo,25.0,69
19,9th,F,group,6.0,75
20,10th,Female,tutor,9.0,96
21,11th,,solo,7.0,78
22,12th,male,Tutor,,
