education,gender,region,experience_years,hourly_wage
Bachelor,Male,Rural,10,28.54
Associate,Male,Urban,11,28.03
Graduate,Female,Suburban,4,31.56
Bachelor,Female,Urban,16,24.9
High School,Male,Urban,16,27.83
Graduate,Female,Suburban,2,26.16
Bachelor,Male,Rural,17,27.03
Bachelor,Female,Suburban,26,33.91
High School,Female,Urban,13,22.02
Associate,Male,Suburban,10,22.78
Associate,Male,Urban,11,29.61
Graduate,Male,Rural,16,32.91
Bachelor,Female,Suburban,0,21.1
Bachelor,Female,Urban,13,27.88
Associate,Female,Urban,9,23.3
High School,Female,Urban,25,28.04
Bachelor,Male,Rural,11,25.72
High School,Female,Suburban,24,27.52
Bachelor,Male,Suburban,4,27.0
Bachelor,Male,Suburban,16,26.15
Bachelor,Female,Suburban,14,22.43
Associate,Female,Urban,6,22.06
Graduate,Male,Rural,13,35.14
Graduate,Female,Urban,20,38.57
Bachelor,Female,Suburban,10,26.81
High School,Female,Suburban,0,15.12
Associate,Female,Suburban,12,26.33
High School,Male,Rural,6,15.14
High School,Male,Urban,10,19.25
Bachelor,Male,Suburban,11,26.45
Bachelor,Female,Urban,0,24.82
Graduate,Female,Suburban,1,32.83
Associate,Male,Urban,15,27.37
Associate,Male,Urban,8,17.59
Associate,Male,Urban,0,16.55
High School,Female,Urban,17,20.88
High School,Female,Urban,14,20.42
Associate,Male,Suburban,7,22.34
High School,Male,Suburban,3,18.47
Bachelor,Female,Urban,18,31.0
Associate,Male,Urban,14,31.66
Bachelor,Female,Urban,29,34.79
Bachelor,Male,Suburban,15,28.99
Associate,Male,Urban,15,30.28
Bachelor,Female,Urban,11,23.94
Bachelor,Male,Urban,18,35.85
Associate,Male,Suburban,16,28.03
High School,Male,Urban,21,27.48
Bachelor,Male,Suburban,8,33.68
High School,Male,Suburban,9,19.06
High School,Male,Suburban,9,27.64
High School,Male,Suburban,18,24.38
Bachelor,Male,Suburban,22,30.81
Bachelor,Female,Urban,9,28.17
Bachelor,Female,Suburban,9,23.01
Bachelor,Male,Suburban,14,28.89
Associate,Male,Urban,10,27.77
Bachelor,Male,Suburban,19,35.33
High School,Female,Urban,0,13.91
High School,Female,Suburban,6,20.26
Bachelor,Male,Suburban,7,31.85
Associate,Male,Rural,0,24.1
Bachelor,Male,Rural,5,27.94
Bachelor,Male,Suburban,6,32.06
